Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
World,3.71,3.81,3.95,3.87,3.81,3.94,4.01,4.05,4.1,3.99,3.87,3.76,3.72,3.78,3.77,3.77,3.83,3.89,3.9,3.88,3.84,3.77,3.74,3.7,3.75,3.77,3.78,3.76,3.73,3.8,3.81,3.82,3.93,4.07,4.16,4.24,4.35,4.33,4.21,4.42,4.49,4.49,4.52,4.47,4.41,4.36,4.38,4.42
United States,20.65,21.57,22.13,21.23,20.17,21.17,21.71,21.43,21.33,20.18,19.71,18.61,18.33,18.98,18.93,18.61,19.08,19.76,19.83,19.2,18.8,18.83,19.03,19.07,19.03,19.39,20.13,20.08,19.92,20.29,19.99,19.26,19.31,19.4,19.27,18.75,18.85,18.1,16.67,17.28,16.44,15.6,15.92,15.83,15.35,14.97,14.63,15.03
Chinese Taipei,1.97,2.19,2.42,2.31,2.49,2.96,3.14,3.49,3.63,3.97,3.57,3.49,3.64,3.67,3.49,4.03,4.21,4.87,5.25,5.3,5.68,5.99,6.37,6.69,7.02,7.32,7.82,8.34,8.73,9.49,9.65,9.91,10.23,10.51,10.59,10.86,10.91,10.38,9.83,10.46,10.63,10.41,10.4,10.63,10.6,10.77,11.01,10.83
Japan,7.15,7.41,8.25,8.03,7.6,7.76,7.9,7.78,7.9,7.44,7.18,6.91,6.91,7.37,7.16,7.12,7.13,7.63,7.83,8.53,8.58,8.64,8.55,8.96,9.01,9.1,9,8.67,8.93,9.05,8.94,9.22,9.28,9.24,9.25,9.06,9.34,8.83,8.4,8.84,9.29,9.62,9.69,9.38,9.09,9.02,8.88,8.55
Singapore,2.87,3.36,3.7,3.8,3.73,3.98,4.38,4.99,5.32,5.24,5.34,5.29,5.64,5.75,6.07,6.16,6.21,6.92,7.2,9.51,9.72,9.72,10.92,11.11,10.66,10.49,10.05,9.43,9.55,10.46,10.16,9.89,9.27,9.51,8.65,8.45,8.34,7.94,7.79,8.35,8.64,8.23,8.13,8.13,8.22,8.23,8.45,8.4
People's Rep. of China,0.93,0.96,0.98,0.98,1.12,1.15,1.29,1.44,1.44,1.39,1.37,1.4,1.45,1.56,1.55,1.61,1.7,1.8,1.84,1.84,1.91,1.97,2.12,2.18,2.41,2.36,2.38,2.43,2.33,2.46,2.56,2.74,3.16,3.66,4.15,4.55,4.91,5.04,5.36,5.85,6.38,6.53,6.77,6.68,6.63,6.57,6.67,6.84
"Hong Kong, China",2.28,2.32,2.27,2.51,2.44,2.79,3.18,3.31,2.9,2.89,3.05,3.25,3.66,3.95,4.09,4.57,4.97,5.51,5.69,5.84,6.3,7.02,7.32,6.04,5.93,5.47,5.05,6.33,6.73,6.05,6.17,5.95,6.36,6.03,6.07,6.17,6.37,6.16,6.63,5.98,6.45,6.31,6.42,6.62,6.03,6.1,5.96,5.72
United Kingdom,11.11,10.74,11.28,10.58,10.25,10.36,10.55,10.52,11.08,10.13,9.84,9.62,9.47,9.15,9.61,9.85,9.91,9.86,9.59,9.6,9.75,9.51,9.19,9.04,8.86,9.18,8.78,8.8,8.72,8.84,9.06,8.78,8.95,8.9,8.8,8.76,8.51,8.22,7.39,7.59,6.94,7.24,6.97,6.33,6.05,5.67,5.45,5.3
Iraq,1.01,1.09,1.08,1.13,1.33,1.6,1.62,1.77,2,1.92,1.8,1.88,2.12,2.22,2.44,2.67,2.71,2.97,3.2,3.01,2.43,3.61,4.63,5.06,4.72,4.69,5.33,3.58,2.67,3,3.32,3.01,2.71,2.77,2.72,2.51,2.25,2.56,3.19,3.48,3.59,3.97,4.09,4.09,3.68,3.78,3.71,3.99
Egypt,0.57,0.62,0.56,0.62,0.66,0.76,0.79,0.8,0.86,0.94,1.05,1.11,1.21,1.29,1.31,1.3,1.36,1.35,1.38,1.39,1.35,1.37,1.37,1.25,1.31,1.35,1.43,1.48,1.51,1.45,1.59,1.59,1.62,1.73,1.92,1.98,2.09,2.15,2.15,2.14,2.16,2.19,2.14,2.15,2.2,2.23,2.25,2.27
Brazil,0.9,0.95,1.1,1.16,1.21,1.3,1.31,1.39,1.44,1.39,1.27,1.24,1.15,1.12,1.16,1.27,1.27,1.27,1.26,1.24,1.26,1.27,1.3,1.32,1.41,1.5,1.58,1.6,1.63,1.68,1.69,1.67,1.61,1.69,1.67,1.68,1.74,1.82,1.68,1.9,1.98,2.13,2.26,2.36,2.22,2.03,2.06,1.94
India,0.32,0.32,0.32,0.33,0.35,0.36,0.36,0.35,0.37,0.38,0.41,0.42,0.44,0.47,0.48,0.51,0.54,0.56,0.59,0.61,0.64,0.66,0.67,0.69,0.73,0.75,0.78,0.78,0.82,0.84,0.84,0.86,0.86,0.91,0.94,0.99,1.07,1.12,1.22,1.27,1.33,1.43,1.45,1.57,1.56,1.56,1.64,1.71
Africa,0.67,0.69,0.73,0.75,0.79,0.83,0.83,0.79,0.8,0.84,0.87,0.86,0.85,0.85,0.85,0.84,0.87,0.86,0.86,0.85,0.83,0.82,0.81,0.79,0.81,0.82,0.84,0.84,0.82,0.82,0.88,0.89,0.9,0.94,0.95,0.95,0.96,0.99,0.96,0.99,0.96,0.99,1,1.02,0.99,0.97,0.97,0.98
